,time,syntax_penn_tok2,syntax_penn_lem2,lexical_tok2,lexical_lem2,cosine_semanticL,partner_direction,condition_info
208,25,0.07453559924999299,0.21650635094610968,0.0,0.0,0.5449484546077568,r>l,dyad15-dyad30-cond1
209,26,0.0,0.0,0.0,0.0,0.476917446770609,l>r,dyad15-dyad30-cond1
210,27,0.0,0.10585122480499262,0.040996003084539386,0.08104408984731078,0.6406618061109418,r>l,dyad15-dyad30-cond1
211,28,0.07905694150420949,0.19245008972987526,0.06540699401677286,0.06465081838352359,0.6176085715097962,l>r,dyad15-dyad30-cond1
212,29,0.17888543819998318,0.1735852146410985,0.04598004898717029,0.09196009797434058,0.7139135065140861,r>l,dyad15-dyad30-cond1
213,30,0.09901475429766741,0.09053574604251853,0.0,0.0,0.6925215577217937,l>r,dyad15-dyad30-cond1
214,31,0.0,0.0,0.0,0.0,0.5284597560724688,r>l,dyad15-dyad30-cond1
215,32,0.0890870806374748,0.0890870806374748,0.1632993161855452,0.1632993161855452,0.5940080741329715,l>r,dyad15-dyad30-cond1
216,33,0.10482848367219183,0.10482848367219183,0.17213259316477406,0.21483446221182986,0.5773727563460958,r>l,dyad15-dyad30-cond1
217,34,0.0,0.0,0.0,0.0,0.3750642780097805,l>r,dyad15-dyad30-cond1
218,35,0.17118419700436519,0.27185747308321606,0.0562543950463012,0.05555555555555555,0.5194679766911803,r>l,dyad15-dyad30-cond1
219,36,0.0,0.0,0.0,0.0,0.7201146378149312,l>r,dyad15-dyad30-cond1
220,37,0.0,0.0,0.0,0.0,0.7253336268483414,r>l,dyad15-dyad30-cond1
221,38,0.2625754538144587,0.30660201591488195,0.0,0.0,0.7582216870581492,l>r,dyad15-dyad30-cond1
222,39,0.21653278478430668,0.33708038864015377,0.027287389727190907,0.027287389727190907,0.785958279906907,r>l,dyad15-dyad30-cond1
223,40,0.0,0.05383819020581655,0.0,0.0,0.3631136811657826,l>r,dyad15-dyad30-cond1
224,0,0.10314212462587934,0.3095238095238096,0.04333513900174395,0.04333513900174395,0.7945921787484763,l>r,dyad16-dyad17-cond1
225,1,0.2888161925727373,0.4142670174128899,0.04654940641157277,0.04654940641157277,0.8763916059324172,r>l,dyad16-dyad17-cond1
226,2,0.10206207261596574,0.27386127875258304,0.0,0.0,0.3677983733424992,l>r,dyad16-dyad17-cond1
227,3,0.0,0.0,0.0,0.0,0.16566415059700068,r>l,dyad16-dyad17-cond1
228,4,0.4472135954999579,0.4472135954999579,0.0,0.0,0.4154425346621372,l>r,dyad16-dyad17-cond1
229,5,0.09128709291752768,0.18257418583505536,0.0,0.0,0.6218551883198302,r>l,dyad16-dyad17-cond1
230,6,0.4364357804719848,0.3273268353539886,0.0,0.06454972243679027,0.7055784933011998,l>r,dyad16-dyad17-cond1
231,7,0.0,0.0,0.0,0.0,0.5641595825505097,r>l,dyad16-dyad17-cond1
232,8,0.1091089451179962,0.10425720702853739,0.0,0.0,0.709841380113681,l>r,dyad16-dyad17-cond1
233,9,0.10223972648864955,0.15899075018722336,0.0,0.0,0.746825782446017,r>l,dyad16-dyad17-cond1
234,10,0.29974271363172633,0.38770175433269616,0.033149677206589796,0.033149677206589796,0.7006810620484216,l>r,dyad16-dyad17-cond1
235,11,0.4610167493146947,0.4732863826479693,0.0,0.0,0.6850294660311953,r>l,dyad16-dyad17-cond1
236,12,0.253546276418555,0.26089696604360174,0.0,0.0,0.8038906283255307,l>r,dyad16-dyad17-cond1
237,13,0.24056261216234406,0.2970442628930023,0.0,0.0,0.6157231938574399,r>l,dyad16-dyad17-cond1
238,14,0.23145502494313788,0.3857583749052298,0.0,0.0,0.6238768753575646,l>r,dyad16-dyad17-cond1
239,15,0.0,0.0,0.0,0.0,0.6193677115455924,r>l,dyad16-dyad17-cond1
240,16,0.0,0.0,0.0,0.0,0.42304567373594526,l>r,dyad16-dyad17-cond1
241,0,0.2357022603955158,0.4714045207910316,0.0,0.0,0.34782060463842823,l>r,dyad17-dyad16-cond1
242,1,0.0,0.0,0.0,0.0,0.4978140868418319,r>l,dyad17-dyad16-cond1
243,2,0.0,0.2886751345948129,0.0,0.0,0.5053273592612236,l>r,dyad17-dyad16-cond1
244,3,0.0,0.0,0.0,0.0,0.5598951514301368,r>l,dyad17-dyad16-cond1
245,4,0.0,0.0,0.0,0.0,0.6227611054798367,l>r,dyad17-dyad16-cond1
246,5,0.0,0.0,0.0,0.0,0.595336000925277,r>l,dyad17-dyad16-cond1
247,6,0.0,0.0,0.0,0.0,0.40819307133258187,l>r,dyad17-dyad16-cond1
248,7,0.0,0.0,0.0,0.0,0.40819307133258187,r>l,dyad17-dyad16-cond1
249,8,0.0,0.19611613513818402,0.0,0.0,0.3500945915801985,l>r,dyad17-dyad16-cond1
250,9,0.0,0.07692307692307693,0.0,0.0,0.5675595573871968,r>l,dyad17-dyad16-cond1
